Price,NIFTY50,RELIANCE,TCS,HDFCBANK
Ticker,^NSEI,RELIANCE.NS,TCS.NS,HDFCBANK.NS
Date,,,,
2015-01-02,8395.4501953125,189.4969482421875,1002.0493774414062,220.25865173339844
2015-01-05,8378.400390625,187.4212646484375,986.8206176757812,218.39906311035156
2015-01-06,8127.35009765625,178.91525268554688,950.4405517578125,214.9992218017578
2015-01-07,8102.10009765625,182.80979919433594,939.213134765625,215.626708984375
2015-01-08,8234.599609375,180.1884765625,949.3526611328125,220.156005859375
2015-01-09,8284.5,184.09375,975.963134765625,222.62033081054688
2015-01-12,8323.0,181.953857421875,974.9531860351562,220.65798950195312
2015-01-13,8299.400390625,180.42385864257812,970.3690185546875,219.81375122070312
2015-01-14,8277.5498046875,178.66915893554688,979.7113037109375,219.9392547607422
2015-01-15,8494.150390625,184.93898010253906,986.374267578125,226.61343383789062
2015-01-16,8513.7998046875,186.10523986816406,983.6740112304688,228.48443603515625
2015-01-19,8550.7001953125,188.23440551757812,975.4583129882812,229.21461486816406
2015-01-20,8695.599609375,193.24176025390625,971.3596801757812,232.9567108154297
2015-01-21,8729.5,194.03347778320312,976.5459594726562,232.72854614257812
2015-01-22,8761.400390625,189.1117401123047,976.4485473632812,233.02516174316406
2015-01-23,8835.599609375,189.7858428955078,972.5831909179688,237.94236755371094
2015-01-27,8910.5,190.24588012695312,973.9260864257812,245.07289123535156
2015-01-28,8914.2998046875,194.05487060546875,988.5428466796875,241.49050903320312
2015-01-29,8952.349609375,198.88027954101562,990.5084838867188,249.8531951904297
2015-01-30,8808.900390625,195.8523712158203,966.14111328125,245.8258514404297
2015-02-02,8797.400390625,194.31167602539062,978.6552734375,246.79559326171875
2015-02-03,8756.5498046875,200.63502502441406,995.8021850585938,242.802490234375
2015-02-04,8723.7001953125,198.75192260742188,978.6946411132812,243.62393188476562
2015-02-05,8711.7001953125,197.6605682373047,993.5249633789062,245.6319122314453
2015-02-06,8661.0498046875,194.7075653076172,1002.614013671875,240.38380432128906
2015-02-09,8526.349609375,191.88290405273438,978.1497802734375,237.3262939453125
2015-02-10,8565.5498046875,188.73727416992188,950.2207641601562,240.60061645507812
2015-02-11,8627.400390625,192.73887634277344,957.5191650390625,241.5019073486328
2015-02-12,8711.5498046875,194.54705810546875,958.3949584960938,245.5178680419922
2015-02-13,8805.5,196.33384704589844,988.2117919921875,243.19039916992188
2015-02-16,8809.349609375,193.18826293945312,1006.1367797851562,243.58973693847656
2015-02-18,8869.099609375,192.94215393066406,1025.929931640625,245.2440643310547
2015-02-19,8895.2998046875,193.02774047851562,1043.60205078125,246.38490295410156
