Price,NIFTY50,RELIANCE,TCS,HDFCBANK
Ticker,^NSEI,RELIANCE.NS,TCS.NS,HDFCBANK.NS
Date,,,,
2015-01-02,8395.4501953125,189.49693298339844,1002.0489501953125,220.2586669921875
2015-01-05,8378.400390625,187.42127990722656,986.8209228515625,218.3990478515625
2015-01-06,8127.35009765625,178.91522216796875,950.4401245117188,214.99923706054688
2015-01-07,8102.10009765625,182.80982971191406,939.213623046875,215.62669372558594
2015-01-08,8234.599609375,180.1884765625,949.3526000976562,220.15602111816406
2015-01-09,8284.5,184.09373474121094,975.9630737304688,222.62030029296875
2015-01-12,8323.0,181.95387268066406,974.9530029296875,220.65798950195312
2015-01-13,8299.400390625,180.42385864257812,970.368896484375,219.813720703125
2015-01-14,8277.5498046875,178.66915893554688,979.7117309570312,219.9392547607422
2015-01-15,8494.150390625,184.9390106201172,986.3739013671875,226.61341857910156
2015-01-16,8513.7998046875,186.10525512695312,983.67431640625,228.4844512939453
2015-01-19,8550.7001953125,188.2344207763672,975.4580078125,229.214599609375
2015-01-20,8695.599609375,193.24171447753906,971.359375,232.95669555664062
2015-01-21,8729.5,194.03347778320312,976.5460815429688,232.72854614257812
2015-01-22,8761.400390625,189.11175537109375,976.4484252929688,233.02516174316406
2015-01-23,8835.599609375,189.7858428955078,972.5831909179688,237.94236755371094
2015-01-27,8910.5,190.2458953857422,973.9261474609375,245.07286071777344
2015-01-28,8914.2998046875,194.05490112304688,988.5423583984375,241.49049377441406
2015-01-29,8952.349609375,198.8803253173828,990.5084228515625,249.85316467285156
2015-01-30,8808.900390625,195.85238647460938,966.1409301757812,245.82582092285156
2015-02-02,8797.400390625,194.31166076660156,978.6557006835938,246.7955780029297
2015-02-03,8756.5498046875,200.63502502441406,995.8021240234375,242.802490234375
2015-02-04,8723.7001953125,198.75192260742188,978.6944580078125,243.62393188476562
2015-02-05,8711.7001953125,197.66058349609375,993.5248413085938,245.6318817138672
2015-02-06,8661.0498046875,194.70753479003906,1002.6142578125,240.38389587402344
2015-02-09,8526.349609375,191.88291931152344,978.1499633789062,237.32627868652344
2015-02-10,8565.5498046875,188.73727416992188,950.2206420898438,240.60060119628906
2015-02-11,8627.400390625,192.73886108398438,957.5189819335938,241.50193786621094
2015-02-12,8711.5498046875,194.5470428466797,958.3950805664062,245.517822265625
2015-02-13,8805.5,196.3338623046875,988.2118530273438,243.1904296875
2015-02-16,8809.349609375,193.188232421875,1006.136962890625,243.5897216796875
2015-02-18,8869.099609375,192.942138671875,1025.9300537109375,245.24398803710938
2015-02-19,8895.2998046875,193.02774047851562,1043.6019287109375,246.3848876953125
