Price,NIFTY50,RELIANCE,TCS,HDFCBANK
Ticker,^NSEI,RELIANCE.NS,TCS.NS,HDFCBANK.NS
Date,,,,
2015-01-05,-0.0020329035926431203,-0.011013922849351246,-0.015313545783904514,-0.00847873053716846
2015-01-06,-0.030422082918029548,-0.04644684228356822,-0.037563420888898184,-0.015689404641458078
2015-01-07,-0.0031116297926513815,0.021534356141027285,-0.011882212352763958,0.0029141631482426473
2015-01-08,0.01622144246054657,-0.014443035529802794,0.010737324788172404,0.020787839184894977
2015-01-09,0.006041557177687999,0.02144166075035314,0.027644472700301587,0.011131149069083211
2015-01-12,0.004636467736743234,-0.011691847691800428,-0.0010354836921150669,-0.008853686970944618
2015-01-13,-0.0028394966643650508,-0.008444355144181492,-0.004712962859132306,-0.003833480394700159
2015-01-14,-0.0026362628028638235,-0.00977303142848267,0.009582071455187637,0.0005709298994267883
2015-01-15,0.025830729950324278,0.034490276829244416,0.0067771167233807075,0.02989417036933027
2015-01-16,0.0023106162211340322,0.006286303037641484,-0.002740630027538664,0.008222597294232359
2015-01-19,0.004324820315931695,0.011375703656880787,-0.00838775070291956,0.003190519767791566
2015-01-20,0.01680393189462208,0.026253706821994082,-0.0042106043475222885,0.016193899379126762
2015-01-21,0.003890988763950604,0.004088898151063283,0.00532543176934377,-0.0009798439455961801
2015-01-22,0.003647659672542357,-0.025692571496883105,-0.00010000668177972112,0.001273701682517009
2015-01-23,0.008433216854945564,0.0035581552307875188,-0.003966317847353679,0.02088205316282649
2015-01-27,0.008441385660836975,0.002421127861821655,0.0013798616113207714,0.029527065805670192
2015-01-28,0.0004263503418490414,0.01982369284321049,0.014896016073998028,-0.014725447952741725
2015-01-29,0.0042593170470792705,0.024562149000877463,0.0019868768588806925,0.03404329493624791
2015-01-30,-0.016153405638702815,-0.015342018254275053,-0.02490865571589499,-0.016250163880139352
2015-02-02,-0.0013063506955069547,-0.007897876432459918,0.012870181957283596,0.00393713441957018
2015-02-03,-0.004654298232220474,0.03202409278348907,0.01736867120782541,-0.016312059088359653
2015-02-04,-0.0037584872121479928,-0.009430034620799471,-0.01732906937771679,0.0033774581063086926
2015-02-05,-0.0013765100457609084,-0.0055060920213427945,0.015039567702739929,0.008208225828188021
2015-02-06,-0.005831032408607971,-0.015052723846834573,0.009107060053815834,-0.021596787846322747
2015-02-09,-0.015674617197285398,-0.01461322034138247,-0.024703130498426925,-0.012801313873777703
2015-02-10,0.004586999150377187,-0.016529426534668927,-0.028968782609158323,0.013702404608504807
2015-02-11,0.007194908616778425,0.02098025708612563,0.007651332873002957,0.0037391950760112054
